Volatility 3 Framework 2.7.1

PID	Process	Offset	HandleValue	Type	GrantedAccess	Name

4700	mspaint.exe	0xa30710bb93e0	0x4	Event	0x1f0003	
4700	mspaint.exe	0xa30710bb82e0	0x8	Event	0x1f0003	
4700	mspaint.exe	0xa3071097b690	0xc	WaitCompletionPacket	0x1	
4700	mspaint.exe	0xa3070fd7d2c0	0x10	IoCompletion	0x1f0003	
4700	mspaint.exe	0xa307104d2970	0x14	TpWorkerFactory	0xf00ff	
4700	mspaint.exe	0xa30710779a30	0x18	IRTimer	0x100002	
4700	mspaint.exe	0xa3071097e0d0	0x1c	WaitCompletionPacket	0x1	
4700	mspaint.exe	0xa3071077aa20	0x20	IRTimer	0x100002	
4700	mspaint.exe	0xa30710980b10	0x24	WaitCompletionPacket	0x1	
4700	mspaint.exe	0xa3070fd7dd40	0x2c	EtwRegistration	0x804	
4700	mspaint.exe	0xa3070fd7de20	0x30	EtwRegistration	0x804	
4700	mspaint.exe	0xc60793e2cce0	0x34	Directory	0xf	BaseNamedObjects
4700	mspaint.exe	0xa3070fd80200	0x38	EtwRegistration	0x804	
4700	mspaint.exe	0xa3070ff8ab90	0x3c	File	0x100020	\Device\HarddiskVolume3\Windows\System32
4700	mspaint.exe	0xc60795225b00	0x40	Directory	0x3	KnownDlls
4700	mspaint.exe	0xa30710bb94e0	0x44	Event	0x1f0003	
4700	mspaint.exe	0xa30710bb9560	0x48	Event	0x1f0003	
4700	mspaint.exe	0xa30710a05260	0x4c	Mutant	0x1f0001	SM0:4700:304:WilStaging_02
4700	mspaint.exe	0xa307109d2ce0	0x50	ALPC Port	0x1f0001	
4700	mspaint.exe	0xa30710c1ef20	0x54	Semaphore	0x1f0003	SM0:4700:304:WilStaging_02_p0
4700	mspaint.exe	0xa30710c1ea20	0x58	Semaphore	0x1f0003	SM0:4700:304:WilStaging_02_p0h
4700	mspaint.exe	0xa3070fd7fbe0	0x5c	EtwRegistration	0x804	
4700	mspaint.exe	0xa3070fd7eb40	0x60	EtwRegistration	0x804	
4700	mspaint.exe	0xa3070fd7e980	0x64	EtwRegistration	0x804	
4700	mspaint.exe	0xa3070fd7fe80	0x68	EtwRegistration	0x804	
4700	mspaint.exe	0xc60798e29440	0x6c	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\SORTING\VERSIONS
4700	mspaint.exe	0xa3070fd7ea60	0x70	EtwRegistration	0x804	
4700	mspaint.exe	0xa3070fd802e0	0x74	EtwRegistration	0x804	
4700	mspaint.exe	0xa3070fd803c0	0x78	EtwRegistration	0x804	
4700	mspaint.exe	0xa3070fd7eec0	0x7c	EtwRegistration	0x804	
4700	mspaint.exe	0xa3070fd83ca0	0x80	EtwRegistration	0x804	
4700	mspaint.exe	0xa3070fd82180	0x84	EtwRegistration	0x804	
4700	mspaint.exe	0xa3070fd827a0	0x88	EtwRegistration	0x804	
4700	mspaint.exe	0xa3070fd82880	0x8c	EtwRegistration	0x804	
4700	mspaint.exe	0xa3070fd82960	0x90	EtwRegistration	0x804	
4700	mspaint.exe	0xa3070fd83ae0	0x94	EtwRegistration	0x804	
4700	mspaint.exe	0xa3070fd82260	0x98	EtwRegistration	0x804	
4700	mspaint.exe	0xa3070fd82ea0	0x9c	EtwRegistration	0x804	
4700	mspaint.exe	0xa3070fd82340	0xa0	EtwRegistration	0x804	
4700	mspaint.exe	0xa3070fd82420	0xa4	EtwRegistration	0x804	
4700	mspaint.exe	0xa3070fd82a40	0xa8	EtwRegistration	0x804	
4700	mspaint.exe	0xa3070fd82500	0xac	EtwRegistration	0x804	
4700	mspaint.exe	0xa3070fd82b20	0xb0	EtwRegistration	0x804	
4700	mspaint.exe	0xc60798e2db70	0xb4	Key	0x9	MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\IMAGE FILE EXECUTION OPTIONS
4700	mspaint.exe	0xa3070e885760	0xc0	WindowStation	0xf037f	WinSta0
4700	mspaint.exe	0xa3070f22dc70	0xc4	Desktop	0xf01ff	Default
4700	mspaint.exe	0xa3070e885760	0xc8	WindowStation	0xf037f	WinSta0
4700	mspaint.exe	0xa30710bb9b60	0xcc	Event	0x1f0003	
4700	mspaint.exe	0xa30710984180	0xd0	WaitCompletionPacket	0x1	
4700	mspaint.exe	0xa3070fc78d80	0xd4	File	0x100001	\Device\HarddiskVolume3\Windows\System32\en-GB\mspaint.exe.mui
4700	mspaint.exe	0xa3070fd83140	0xd8	EtwRegistration	0x804	
4700	mspaint.exe	0xc60799168ac0	0xdc	Key	0x20019	MACHINE
4700	mspaint.exe	0xc60799169450	0xe0	Key	0x20019	MACHINE
4700	mspaint.exe	0xc60799167f10	0xe4	Key	0x20019	MACHINE\SOFTWARE\MICROSOFT\OLE
4700	mspaint.exe	0xa30710bb97e0	0xe8	Event	0x1f0003	
4700	mspaint.exe	0xc6079916a220	0xec	Key	0x20019	USER\S-1-5-21-4182252777-1766901480-2167484189-1001_CLASSES\LOCAL SETTINGS\SOFTWARE\MICROSOFT
4700	mspaint.exe	0xc60799169560	0xf0	Key	0x20019	USER\S-1-5-21-4182252777-1766901480-2167484189-1001_CLASSES\LOCAL SETTINGS
4700	mspaint.exe	0xa30710bb9fe0	0xf4	Event	0x1f0003	
4700	mspaint.exe	0xa3070fd825e0	0xf8	EtwRegistration	0x804	
4700	mspaint.exe	0xa3070fd835a0	0xfc	EtwRegistration	0x804	
4700	mspaint.exe	0xa3070fd82ce0	0x100	EtwRegistration	0x804	
4700	mspaint.exe	0xa30710bba960	0x104	Event	0x1f0003	
4700	mspaint.exe	0xa30710bbaa60	0x108	Event	0x1f0003	
4700	mspaint.exe	0xa30710bba9e0	0x10c	Event	0x1f0003	
4700	mspaint.exe	0xa30710bba8e0	0x110	Event	0x1f0003	
4700	mspaint.exe	0xa30710bba2e0	0x114	Event	0x1f0003	
