Volatility 3 Framework 2.7.1

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

4	0	System	0xa3070b687040	120	-	N/A	False	2024-05-07 10:59:52.000000 	N/A	Disabled
92	4	Registry	0xa3070b6eb080	4	-	N/A	False	2024-05-07 10:59:48.000000 	N/A	Disabled
300	4	smss.exe	0xa3070e378040	4	-	N/A	False	2024-05-07 10:59:52.000000 	N/A	Disabled
408	400	csrss.exe	0xa3070e85a140	15	-	0	False	2024-05-07 10:59:53.000000 	N/A	Disabled
488	400	wininit.exe	0xa3070f225080	8	-	0	False	2024-05-07 10:59:53.000000 	N/A	Disabled
496	476	csrss.exe	0xa3070ebb8080	14	-	1	False	2024-05-07 10:59:53.000000 	N/A	Disabled
588	476	winlogon.exe	0xa3070f2a9080	9	-	1	False	2024-05-07 10:59:53.000000 	N/A	Disabled
632	488	services.exe	0xa3070f2ac080	10	-	0	False	2024-05-07 10:59:53.000000 	N/A	Disabled
648	488	lsass.exe	0xa3070f2d9080	10	-	0	False	2024-05-07 10:59:53.000000 	N/A	Disabled
740	588	fontdrvhost.ex	0xa3070f31a140	8	-	1	False	2024-05-07 10:59:53.000000 	N/A	Disabled
748	488	fontdrvhost.ex	0xa3070f31c140	8	-	0	False	2024-05-07 10:59:53.000000 	N/A	Disabled
764	632	svchost.exe	0xa3070f320240	25	-	0	False	2024-05-07 10:59:53.000000 	N/A	Disabled
868	632	svchost.exe	0xa3070f3992c0	14	-	0	False	2024-05-07 10:59:53.000000 	N/A	Disabled
972	588	dwm.exe	0xa3070e92f080	23	-	1	False	2024-05-07 10:59:53.000000 	N/A	Disabled
412	632	svchost.exe	0xa3070e987240	61	-	0	False	2024-05-07 10:59:53.000000 	N/A	Disabled
480	632	svchost.exe	0xa3070e98b2c0	19	-	0	False	2024-05-07 10:59:53.000000 	N/A	Disabled
960	632	svchost.exe	0xa3070e9d8280	15	-	0	False	2024-05-07 10:59:53.000000 	N/A	Disabled
724	632	svchost.exe	0xa3070e9de2c0	15	-	0	False	2024-05-07 10:59:53.000000 	N/A	Disabled
1104	632	svchost.exe	0xa3070e9f5080	31	-	0	False	2024-05-07 10:59:53.000000 	N/A	Disabled
1232	632	svchost.exe	0xa3070b720080	20	-	0	False	2024-05-07 10:59:54.000000 	N/A	Disabled
1292	632	svchost.exe	0xa3070fa76240	6	-	0	False	2024-05-07 10:59:54.000000 	N/A	Disabled
1404	4	MemCompression	0xa3070b6c7040	26	-	N/A	False	2024-05-07 10:59:54.000000 	N/A	Disabled
1452	632	svchost.exe	0xa3070fa7a2c0	15	-	0	False	2024-05-07 10:59:54.000000 	N/A	Disabled
1564	632	svchost.exe	0xa3070b733080	6	-	0	False	2024-05-07 10:59:54.000000 	N/A	Disabled
1576	632	svchost.exe	0xa3070b736080	21	-	0	False	2024-05-07 10:59:54.000000 	N/A	Disabled
1684	632	svchost.exe	0xa3070fb97240	10	-	0	False	2024-05-07 10:59:54.000000 	N/A	Disabled
1716	632	spoolsv.exe	0xa3070fbbb200	14	-	0	False	2024-05-07 10:59:54.000000 	N/A	Disabled
1768	632	svchost.exe	0xa3070fbd72c0	18	-	0	False	2024-05-07 10:59:54.000000 	N/A	Disabled
1880	632	svchost.exe	0xa3070fc5b2c0	7	-	0	False	2024-05-07 10:59:54.000000 	N/A	Disabled
1968	632	svchost.exe	0xa3070fcbd240	15	-	0	False	2024-05-07 10:59:54.000000 	N/A	Disabled
1340	632	MsMpEng.exe	0xa3070fe07280	30	-	0	False	2024-05-07 10:59:54.000000 	N/A	Disabled
2104	632	svchost.exe	0xa3070fec8240	18	-	0	False	2024-05-07 10:59:54.000000 	N/A	Disabled
2336	632	svchost.exe	0xa3070fd1c080	8	-	0	False	2024-05-07 10:59:55.000000 	N/A	Disabled
2604	412	sihost.exe	0xa307100c8080	23	-	1	False	2024-05-07 10:59:56.000000 	N/A	Disabled
2620	632	svchost.exe	0xa307100f32c0	16	-	1	False	2024-05-07 10:59:56.000000 	N/A	Disabled
2696	412	taskhostw.exe	0xa3070e72f300	13	-	1	False	2024-05-07 10:59:56.000000 	N/A	Disabled
2808	632	NisSrv.exe	0xa3071016c300	7	-	0	False	2024-05-07 10:59:56.000000 	N/A	Disabled
2896	960	ctfmon.exe	0xa307101ee280	14	-	1	False	2024-05-07 10:59:56.000000 	N/A	Disabled
1284	588	userinit.exe	0xa30710266340	4	-	1	False	2024-05-07 10:59:56.000000 	N/A	Disabled
1300	1284	explorer.exe	0xa307102d8340	79	-	1	False	2024-05-07 10:59:56.000000 	N/A	Disabled
2568	632	svchost.exe	0xa307102ef2c0	14	-	0	False	2024-05-07 10:59:57.000000 	N/A	Disabled
3160	632	svchost.exe	0xa307103982c0	10	-	1	False	2024-05-07 10:59:57.000000 	N/A	Disabled
3412	764	StartMenuExper	0xa307104d3080	17	-	1	False	2024-05-07 10:59:58.000000 	N/A	Disabled
3456	632	sppsvc.exe	0xa307105a90c0	10	-	0	False	2024-05-07 10:59:58.000000 	N/A	Disabled
3520	764	RuntimeBroker.	0xa307105e1080	19	-	1	False	2024-05-07 10:59:58.000000 	N/A	Disabled
3632	764	SearchApp.exe	0xa3071061e080	39	-	1	False	2024-05-07 10:59:58.000000 	N/A	Disabled
3732	764	RuntimeBroker.	0xa307107b5080	15	-	1	False	2024-05-07 10:59:58.000000 	N/A	Disabled
3804	632	SearchIndexer.	0xa30710773240	22	-	0	False	2024-05-07 10:59:58.000000 	N/A	Disabled
4016	764	SkypeBackgroun	0xa307108f3080	4	-	1	False	2024-05-07 10:59:58.000000 	N/A	Disabled
3284	764	SppExtComObj.E	0xa307108f7240	7	-	0	False	2024-05-07 10:59:59.000000 	N/A	Disabled
4132	3804	SearchProtocol	0xa30710a28080	8	-	1	False	2024-05-07 10:59:59.000000 	N/A	Disabled
4352	764	WmiPrvSE.exe	0xa30710c05280	11	-	0	False	2024-05-07 11:00:00.000000 	N/A	Disabled
4436	3804	SearchFilterHo	0xa30710c020c0	7	-	0	False	2024-05-07 11:00:00.000000 	N/A	Disabled
4492	3804	SearchProtocol	0xa30710c10080	10	-	0	False	2024-05-07 11:00:00.000000 	N/A	Disabled
4700	1300	mspaint.exe	0xa307105550c0	9	-	1	False	2024-05-07 11:00:03.000000 	N/A	Disabled
4732	632	svchost.exe	0xa3071016a300	10	-	0	False	2024-05-07 11:00:03.000000 	N/A	Disabled
4888	764	TextInputHost.	0xa30710557080	20	-	1	False	2024-05-07 11:00:07.000000 	N/A	Disabled
5036	764	dllhost.exe	0xa30710ac8340	15	-	1	False	2024-05-07 11:00:08.000000 	N/A	Disabled
4160	764	RuntimeBroker.	0xa30710b692c0	9	-	1	False	2024-05-07 11:00:08.000000 	N/A	Disabled
2016	764	smartscreen.ex	0xa30710c55300	12	-	1	False	2024-05-07 11:00:08.000000 	N/A	Disabled
264	1300	SecurityHealth	0xa307104f5080	6	-	1	False	2024-05-07 11:00:08.000000 	N/A	Disabled
