Volatility 3 Framework 2.7.1

PID	Process	Offset	HandleValue	Type	GrantedAccess	Name

4	System	0xa3070b687040	0x4	Process	0x1fffff	System Pid 4
4	System	0xa3070b7cb140	0x8	Thread	0x1fffff	Tid 28 Pid 4
4	System	0xa3070b68e3c0	0xc	Mutant	0x1f0001	BcdSyncMutant
4	System	0xc60793a783d0	0x10	Directory	0xf000f	
4	System	0xc60793a22770	0x14	Directory	0xf000f	GLOBAL??
4	System	0xa3070b6ad0a0	0x18	Partition	0x1f0003	MemoryPartition0
4	System	0xc60793a78690	0x1c	Directory	0xf000f	KernelObjects
4	System	0xa3070b678da0	0x20	Event	0x1f0003	LowPagedPoolCondition
4	System	0xa3070b6783a0	0x24	Event	0x1f0003	HighPagedPoolCondition
4	System	0xa3070b678120	0x28	Event	0x1f0003	LowNonPagedPoolCondition
4	System	0xa3070b678720	0x2c	Event	0x1f0003	HighNonPagedPoolCondition
4	System	0xa3070b6781a0	0x30	Event	0x1f0003	LowMemoryCondition
4	System	0xa3070b6786a0	0x34	Event	0x1f0003	HighMemoryCondition
4	System	0xa3070b678a20	0x38	Event	0x1f0003	LowCommitCondition
4	System	0xa3070b678fa0	0x3c	Event	0x1f0003	HighCommitCondition
4	System	0xa3070b6787a0	0x40	Event	0x1f0003	MaximumCommitCondition
4	System	0xa3070b678820	0x44	Event	0x1f0003	MemoryErrors
4	System	0xa3070b678e20	0x48	Event	0x1f0003	PhysicalMemoryChange
4	System	0xa3070b7ce080	0x4c	Thread	0x1fffff	Tid 76 Pid 4
4	System	0xa3070b6eb080	0x50	Process	0x1fffff	Registry Pid 92
4	System	0xc60793aea600	0x54	Key	0x2001f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\HIVELIST
4	System	0xa3070e378040	0x58	Process	0x102a	smss.exe Pid 300
4	System	0xc60793a41b80	0x5c	Key	0x0	
4	System	0xa307102c22a0	0x60	WaitCompletionPacket	0x1	
4	System	0xc60793aea1c0	0x64	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\LEAPSECONDINFORMATION
4	System	0xc60793aeb5f0	0x68	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\NOTIFICATIONS
4	System	0xc60793aeb1b0	0x6c	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER\MEMORY MANAGEMENT\PREFETCHPARAMETERS
4	System	0xc60793aebb40	0x70	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001
4	System	0xc60793aea710	0x74	Key	0x2001f	MACHINE\SYSTEM\SETUP
